ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/belisarrians_chill_king_lore_of_ice	
wh_main_spell_lore_of_ice_ice_wall	wh2_dlc14_spell_no_damage
wh_main_spell_lore_of_ice_ice_wall	chill_king_blocks_path
wh_main_spell_lore_of_ice_crystal_field	wh2_main_all_huge_static_aoe
wh_main_spell_lore_of_ice_crystal_field	wh_main_all_strong_against_units
wh_main_spell_lore_of_ice_crystal_field	wh_main_all_weak_against_single
wh_main_spell_lore_of_ice_crystal_field	wh2_main_all_weak_against_armour
wh_main_spell_lore_of_ice_ice_blades_overcharged	wh_main_spell_upgraded_damage
wh_main_spell_lore_of_ice_ice_blades_overcharged	wh_main_all_strong_against_single
wh_main_spell_lore_of_ice_ice_blades_overcharged	wh_main_all_direct_damage
wh_main_spell_lore_of_ice_ice_blades	wh_main_all_strong_against_single
wh_main_spell_lore_of_ice_ice_blades	wh_main_all_direct_damage
wh_main_spell_lore_of_ice_snowman	wh2_main_all_good_against_armour
wh_main_spell_lore_of_ice_snowman	wh2_main_all_magical_damage_major
wh_main_spell_lore_of_ice_snowman	wh2_main_spell_medium_wind
wh_main_spell_lore_of_ice_snowman	wh_main_all_strong_against_units
wh_main_spell_lore_of_ice_snowman	wh_main_all_weak_against_single
